county,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Quitman,3,2,2,5,6,1,2,1,4,3,1,1,1,5,7,9,3,1,4,2,4,3,4,8,3
Rabun,19,20,25,19,17,13,17,18,25,32,17,23,19,10,10,14,22,16,18,18,18,14,14,15,16
Randolph,20,19,15,15,12,20,19,27,23,15,18,6,16,24,24,22,16,15,9,5,13,11,13,7,11
Richmond,"1,061",910,890,946,934,868,894,976,"1,062","1,107","1,080",973,"1,076","1,021",960,857,804,701,986,960,971,980,"1,048",895,922
Rockdale,226,236,231,223,237,247,206,236,293,314,283,319,283,333,333,354,394,367,321,335,296,339,384,356,336
Schley,8,7,6,4,8,3,3,3,8,11,3,7,7,2,9,7,3,6,7,2,2,2,5,4,11
Screven,37,28,29,29,36,28,34,27,47,35,25,32,29,50,37,26,28,24,25,24,30,22,28,19,27
Seminole,6,2,3,3,1,3,0,4,2,4,4,3,1,2,1,3,2,3,1,0,1,1,4,1,0
Spalding,204,148,173,181,132,176,155,164,148,159,120,118,127,137,167,171,170,120,123,120,135,116,145,138,138
Stephens,43,41,44,40,39,16,53,49,38,34,42,34,28,30,23,28,15,14,26,23,25,25,25,31,17
Stewart,14,14,11,8,16,10,9,21,11,13,15,7,7,11,9,18,5,8,10,4,8,5,13,11,8
Sumter,124,107,109,94,117,106,77,138,106,101,80,59,48,64,90,84,85,74,42,40,44,55,64,70,52
Talbot,22,21,14,19,15,11,15,12,15,10,18,34,13,15,18,23,20,18,14,12,14,12,17,18,29
Taliaferro,6,1,4,1,3,2,8,5,11,4,6,5,4,0,2,4,4,0,2,2,3,2,3,1,1
Tattnall,27,40,21,25,30,25,10,16,20,21,26,14,14,20,31,32,38,38,26,27,25,22,25,28,25
Taylor,19,17,24,21,17,21,21,25,10,11,15,12,11,19,16,19,18,12,12,14,17,16,19,15,23
Telfair,12,18,18,21,6,15,16,13,14,13,16,12,19,14,12,10,11,21,18,14,8,8,16,16,20
Terrell,26,37,20,41,31,26,20,36,18,24,20,15,25,16,27,14,19,13,20,8,10,10,23,25,11
Thomas,10,11,8,6,7,8,2,10,4,12,11,13,9,5,7,9,6,8,6,5,6,2,9,5,10
Tift,38,26,32,31,17,27,18,15,15,26,37,17,27,16,26,32,23,26,24,22,21,24,29,23,39
Toombs,43,56,41,44,32,41,31,39,41,43,44,41,53,42,49,41,36,31,36,38,39,49,49,42,41
Towns,10,19,7,5,16,4,12,4,11,7,5,9,4,6,7,12,10,6,5,6,5,7,6,6,4
Treutlen,13,7,7,10,5,4,8,6,11,10,10,9,4,7,10,11,6,4,16,12,4,5,10,14,5
Troup,237,198,193,195,189,183,152,200,150,193,165,105,144,140,158,155,132,98,104,113,114,115,145,129,140
Turner,9,6,8,7,8,4,7,7,9,7,14,16,13,8,13,10,11,10,8,10,11,11,10,9,12
Twiggs,25,13,27,21,17,14,19,20,23,20,21,26,12,17,17,17,21,9,13,8,8,16,8,9,12
Union,14,8,14,16,18,11,10,17,14,14,7,13,11,17,16,19,13,14,13,9,9,8,17,17,12
Upson,91,70,64,70,57,62,61,50,57,42,50,49,48,52,81,63,61,48,44,42,45,32,41,48,42
Walker,93,87,94,84,75,61,62,48,52,54,49,73,72,85,57,81,65,75,53,61,55,43,57,53,45
