county,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Simpson,40,51,33,53,54,44,33,47,52,53,51,65,64,64,40,35,41,43,51,44,42,53,43,36,45,41,38,33,33,38,34,26,27,21,20,21,27,21,30
Smith,19,12,16,16,24,16,16,15,16,15,21,22,25,13,22,17,13,13,18,10,10,14,20,15,16,10,14,18,12,14,16,13,19,13,12,9,7,13,9
Stone,17,14,15,7,11,14,7,9,11,18,4,12,11,14,13,7,14,18,14,20,15,11,12,8,5,8,17,12,15,13,8,10,10,13,16,8,15,8,9
Sunflower,51,49,49,74,69,81,67,72,84,73,89,80,79,68,65,68,68,47,53,63,30,46,29,31,25,25,74,63,75,69,61,55,53,47,41,46,44,53,44
Tallahatchie,23,17,21,14,19,16,23,21,26,22,24,26,25,21,26,18,20,5,7,5,1,0,0,3,2,3,37,28,33,36,29,20,28,23,17,12,11,7,17
Tate,46,58,54,50,71,53,53,62,62,69,92,64,83,59,54,55,59,3,5,3,8,2,2,2,2,0,81,71,85,76,82,65,91,76,47,38,37,40,47
Tippah,29,27,22,25,24,17,22,31,24,24,18,26,25,29,27,18,17,1,1,4,4,4,2,4,1,5,25,20,18,22,28,24,24,12,13,10,8,12,11
Tishomingo,17,21,23,20,17,13,14,20,23,28,29,29,21,22,25,23,18,10,4,4,4,6,7,11,7,2,10,11,18,18,15,18,14,5,9,6,7,3,8
Tunica,15,8,13,6,11,16,12,10,9,12,11,20,18,18,18,37,23,5,1,5,1,1,0,1,1,0,57,56,47,54,56,53,61,44,27,28,28,22,29
Union,35,29,28,27,34,25,18,29,28,28,24,23,18,18,22,23,29,3,5,2,4,6,8,5,2,4,20,25,23,19,24,20,27,25,19,10,22,15,17
Walthall,20,15,9,10,11,15,11,12,9,6,9,15,17,10,13,7,6,7,7,8,12,14,16,13,15,13,12,18,10,11,8,8,11,10,25,13,12,13,16
Warren,218,215,200,166,158,151,132,161,154,149,151,175,173,201,205,179,175,173,175,173,167,147,151,168,144,136,164,140,116,131,89,94,74,86,112,110,100,114,97
Washington,182,180,164,170,176,208,142,159,152,158,169,190,182,184,185,154,192,115,109,118,124,92,71,83,65,38,150,173,163,127,132,150,130,102,88,93,83,81,73
Wayne,9,8,14,6,8,9,14,7,25,27,20,22,32,26,31,25,32,33,20,26,22,32,24,25,25,30,26,26,22,46,26,30,22,23,25,14,21,12,19
Webster,16,20,16,12,14,10,9,7,15,11,18,19,15,11,13,16,15,7,5,14,9,9,7,13,13,10,11,5,9,9,11,3,11,13,4,3,6,9,10
Wilkinson,16,4,13,11,1,2,0,3,1,3,2,3,4,2,2,1,3,3,1,3,3,3,2,3,2,3,2,1,2,3,6,3,6,5,11,11,10,11,6
Winston,42,41,37,56,33,25,26,36,43,41,41,43,37,32,28,25,25,31,26,26,27,24,22,24,26,30,24,17,23,19,5,27,23,25,20,19,19,15,19
Yalobusha,22,33,18,19,16,23,14,25,23,37,37,33,34,23,23,23,33,4,5,5,7,0,5,5,4,3,10,19,27,16,11,15,25,18,22,11,12,19,19
Yazoo,63,76,77,81,58,60,55,53,41,65,69,71,70,74,61,83,89,83,84,74,73,68,63,72,62,62,84,59,75,62,62,59,52,62,52,56,55,61,64
MISSISSIPPI TOTAL,"6,818","6,856","6,319","5,831","5,685","6,101","5,378","6,205","6,093","6,448","6,842","7,574","7,378","6,399","6,069","6,204","7,088","5,689","5,774","5,772","5,653","5,469","5,263","4,983","4,759","4,323","6,236","6,004","6,346","5,975","5,484","5,368","5,309","5,073","4,801","4,272","4,457","4,289","4,693"
