county,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Jay,17,14,13,15,12,21,12,10,13,13,17,12,9,8,8,6,5,11,8,12,4
Jefferson,6,12,20,14,20,20,14,17,15,19,12,19,14,19,13,13,14,25,56,62,43
Jennings,21,25,28,23,23,21,32,18,14,18,17,17,7,11,17,21,16,11,18,18,13
Johnson,218,181,198,190,195,215,189,206,175,207,271,239,205,186,173,169,181,173,175,197,184
Knox,39,29,36,48,31,37,23,26,27,30,30,26,45,25,25,23,22,23,18,18,27
Kosciusko,86,85,98,67,78,55,56,46,57,43,43,53,50,47,43,41,41,41,29,30,35
LaGrange,21,23,25,19,12,12,16,15,9,9,11,10,5,5,8,9,7,7,9,2,7
Lake,"1,588","1,662","1,656","1,453","1,382","1,424","1,238","1,373","1,493","1,401","1,412","1,315","1,228","1,144","1,010",762,710,709,596,539,574
LaPorte,232,211,193,219,181,184,161,151,197,175,161,164,173,142,148,119,134,128,116,97,108
Lawrence,54,50,52,57,44,32,42,43,31,36,45,58,56,34,40,40,39,49,47,38,49
Madison,234,257,239,240,208,188,199,224,160,220,183,163,164,162,142,135,136,124,138,133,126
Marion,"3,883","3,847","3,918","3,801","3,444","3,896","3,559","3,457","3,123","3,489","3,498","3,454","3,359","2,997","2,818","2,654","2,669","2,667","2,441","2,681","2,746"
Marshall,65,47,43,40,39,37,26,42,41,32,49,28,31,38,37,30,34,35,21,41,27
Martin,?,5,?,6,?,6,6,7,?,9,5,11,5,5,8,8,5,8,7,4,0
Miami,44,46,30,36,26,39,25,26,25,25,25,24,23,30,21,23,11,24,18,26,16
Monroe,371,351,342,360,308,364,305,257,324,308,324,322,295,256,282,259,248,252,232,237,204
Montgomery,53,56,60,44,34,42,40,46,43,49,47,47,33,37,41,36,27,25,29,28,29
Morgan,92,84,92,89,98,69,77,102,82,94,90,89,81,77,82,81,54,64,49,51,63
Newton,16,8,13,10,17,15,11,11,18,15,21,?,9,8,9,13,14,14,12,16,17
