county,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sumner,249,259,268,281,275,271,233,246,276,291,239,221,235,225,228,,,,
Tipton,112,113,71,100,117,85,73,108,117,110,105,82,71,90,86,,,,
Trousdale,9,10,9,12,10,9,11,5,7,17,13,8,7,8,8,,,,
Unicoi,23,26,22,11,22,14,11,9,13,9,6,6,5,4,4,,,,
Union,23,26,15,14,18,18,16,20,10,8,14,11,17,5,6,,,,
Van Buren,4,0,3,6,5,0,4,4,1,0,4,3,2,0,1,,,,
Warren,35,53,45,46,39,44,51,41,39,29,32,32,34,30,30,,,,
Washington,244,222,248,219,227,167,148,152,124,142,116,103,41,53,53,,,,
Wayne,12,12,10,14,12,11,12,10,14,6,11,11,8,7,7,,,,
Weakley,44,52,50,35,37,39,27,43,43,40,36,25,33,38,30,,,,
White,26,26,20,26,21,18,23,23,27,20,28,16,28,19,20,,,,
Williamson,222,193,183,209,230,218,198,202,218,226,218,195,217,189,223,,,,
Wilson,186,173,151,155,193,165,143,157,146,160,144,154,146,133,118,,,,
TENNESSEE UNKNOWN,11,24,0,0,0,0,0,0,0,3,0,3,0,0,0,0,68,171,
TENNESSEE TOTAL,"15,650","15,775","15,488","15,448","14,933","13,902","13,154","14,218","14,376","14,245","13,691","12,573","12,368","12,122","11,134","9,861","9,113","9,732",
