county,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
McPherson,39,52,51,49,44,36,27,36,28,32,32,26,35,19,24,24,26,37,37,51,45,28,32,29,36,29,26,36,15,28,28,22,34,20,24,19,15,22,14,16,16,17,21
Meade,3,4,1,9,3,6,4,8,4,4,1,3,1,4,2,1,3,9,9,3,2,0,5,2,3,2,5,2,2,3,7,3,0,2,0,0,0,3,3,0,2,1,3
Miami,44,34,59,61,55,72,55,49,30,39,46,26,35,43,44,41,60,50,47,41,50,51,36,44,41,42,46,34,51,44,46,46,48,49,39,46,37,38,30,26,34,33,30
Mitchell,18,11,13,8,7,7,2,6,5,2,6,3,5,2,0,2,5,3,12,7,4,8,3,1,1,2,3,4,6,4,3,4,3,3,1,4,2,5,4,4,1,5,3
Montgomery,48,40,39,27,19,22,71,68,37,53,34,25,35,13,14,23,30,30,28,32,34,24,30,36,64,61,61,46,42,48,37,34,31,20,12,6,10,10,10,22,17,9,12
Morris,5,6,4,6,4,6,7,6,2,6,5,7,4,4,4,6,5,5,4,8,5,6,4,5,1,1,4,1,3,8,3,1,5,3,1,4,3,3,1,3,3,1,2
Morton,0,2,4,1,2,3,3,1,1,4,1,1,1,1,2,0,2,0,1,1,5,2,1,1,5,8,4,6,2,3,4,2,4,4,0,1,0,1,1,0,0,0,0
Nemaha,9,7,8,12,15,7,6,12,11,11,7,5,5,0,4,7,7,9,2,3,6,8,4,4,0,6,6,2,6,4,7,5,4,5,7,5,0,6,2,3,2,3,2
Neosho,39,26,25,24,31,26,27,16,17,24,21,18,13,12,10,17,13,14,22,19,15,17,12,33,11,22,22,15,14,7,7,16,13,12,12,12,9,7,10,4,11,6,9
Ness,8,4,3,1,3,1,4,1,4,4,4,2,2,2,1,2,3,2,2,2,6,1,4,1,3,2,4,2,4,3,2,1,2,0,3,1,1,1,3,2,3,4,1
Norton,11,4,9,10,5,3,6,1,4,4,1,4,2,1,1,2,1,1,2,2,3,1,1,4,1,2,2,4,1,0,1,2,1,2,0,0,0,1,3,1,1,1,2
Osage,30,20,25,36,35,37,26,27,27,28,24,16,30,26,21,17,10,17,17,33,28,22,20,12,22,21,21,11,19,17,16,18,19,10,6,15,13,15,12,13,4,12,10
Osborne,5,3,6,10,4,5,3,7,5,4,1,3,3,1,1,1,1,4,7,4,2,4,3,1,1,1,1,2,0,3,1,2,0,1,0,1,4,2,0,1,2,0,2
Ottawa,6,3,7,6,3,3,3,0,3,2,2,0,5,0,3,2,2,2,7,8,7,8,6,7,4,10,6,3,7,8,5,3,4,1,2,1,0,2,1,3,3,2,1
Pawnee,14,14,13,25,10,11,10,5,5,4,5,3,9,0,4,6,13,9,10,5,10,14,4,10,4,7,9,7,5,3,6,4,4,1,5,1,4,0,1,3,0,1,2
Phillips,14,8,10,7,19,5,8,6,4,6,5,1,1,4,3,3,2,2,5,5,9,6,2,4,5,6,1,0,2,4,4,3,2,2,0,2,2,0,2,3,1,5,3
Pottawatomie,14,13,40,31,27,35,19,32,26,15,17,11,22,6,13,10,18,24,15,28,13,17,14,19,19,13,13,20,12,13,13,18,11,11,14,7,14,11,8,9,15,12,7
Pratt,16,23,22,23,23,20,8,13,8,18,10,13,11,3,6,10,14,26,30,23,18,14,19,13,10,17,7,14,10,12,8,7,14,9,7,7,2,6,12,4,7,6,4
Rawlins,0,1,1,0,1,2,0,0,1,0,1,0,1,0,2,1,0,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,2,2,0,0,0,1
Reno,102,129,145,175,108,97,76,65,90,80,77,66,87,74,67,58,79,131,129,144,129,126,118,119,111,105,94,83,103,91,87,80,73,63,45,35,40,44,31,46,47,39,47
Republic,10,6,10,1,4,6,1,4,3,2,2,2,1,2,3,1,3,4,4,4,1,5,2,4,4,0,0,1,0,1,4,3,4,1,0,1,0,2,0,1,2,0,2
Rice,14,23,14,12,8,5,4,1,8,8,4,7,7,1,4,4,6,18,18,16,18,19,15,9,7,12,15,15,7,10,9,4,9,6,9,7,9,6,6,6,10,9,4
Riley,177,154,218,266,280,247,244,250,225,156,167,133,191,219,188,155,216,213,259,256,232,203,185,167,169,161,173,168,158,170,190,168,175,164,170,160,147,145,129,119,111,94,107
Rooks,3,4,1,4,4,5,3,4,5,5,2,2,2,2,1,0,3,1,2,9,3,3,12,3,1,2,5,3,5,3,2,3,4,0,0,1,0,5,2,0,0,1,1
Rush,2,4,1,5,4,3,6,1,2,0,2,1,2,0,2,3,3,7,1,3,3,6,3,2,2,2,1,0,2,1,0,4,4,3,5,0,3,0,1,2,2,1,1
Russell,15,6,13,16,9,7,7,10,12,11,5,5,7,0,4,6,10,17,11,8,12,12,4,11,5,10,9,11,4,12,4,9,6,11,7,3,3,5,4,7,2,5,8
Saline,143,77,113,145,113,94,98,83,69,70,44,49,55,37,28,36,88,116,118,122,108,117,92,97,107,114,98,100,92,79,102,79,77,86,68,59,60,68,64,56,30,60,45
Scott,6,4,2,5,6,2,6,1,2,2,2,2,0,1,0,2,3,5,10,9,8,5,7,5,10,4,3,4,6,1,3,1,2,2,1,2,0,1,3,1,1,3,2
Sedgwick,"1,219","1,368","1,245","1,464","1,359","1,024",909,809,824,617,506,603,602,448,419,749,"1,247","1,507","1,479","1,401","1,410","1,487","1,424","1,411","1,409","1,340","1,310","1,318","1,249","1,254","1,187","1,156","1,146",871,677,629,566,691,834,720,770,763,840
Seward,36,44,39,37,31,36,38,39,42,40,38,32,26,27,18,15,36,58,45,46,51,55,52,52,45,46,52,48,32,50,33,28,33,9,8,6,3,11,22,23,15,22,22
Shawnee,570,487,493,673,705,654,692,501,578,554,485,390,534,469,504,461,386,334,437,459,469,376,445,470,454,431,422,416,417,373,362,370,375,370,283,278,285,263,223,224,184,210,210
Sheridan,2,0,1,1,2,0,0,0,1,0,0,1,0,2,2,0,0,2,3,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,2,2
Sherman,4,1,3,1,3,1,0,1,0,0,1,0,0,0,0,0,5,0,3,2,1,0,2,2,3,2,2,4,3,3,1,2,3,2,0,3,0,1,1,3,0,2,0
Smith,9,0,8,3,7,8,1,2,6,3,1,6,0,3,0,1,1,4,2,3,3,4,3,3,1,1,1,1,2,0,0,0,1,1,0,0,0,1,0,4,4,0,2
Stafford,8,6,8,6,3,10,4,2,6,5,2,1,7,1,5,5,5,3,5,6,8,7,5,8,2,2,2,4,3,2,6,5,4,0,0,4,2,1,3,5,2,1,1
Stanton,10,6,5,6,3,3,0,2,6,1,0,1,3,2,0,2,3,1,4,1,3,4,1,3,4,4,4,1,2,3,2,2,2,0,0,1,0,2,0,1,1,1,0
Stevens,7,5,6,2,3,3,1,3,4,2,1,3,3,3,2,2,3,1,0,1,7,9,7,8,6,2,3,6,11,2,3,1,4,6,1,2,1,3,6,4,0,1,1
